ndims,mode,dist_sigma,nsamples,c2st_score,crossvalid,total_cvtime_sec,nfolds,sklearn_version
10,rf,0.0,128,0.6153846153846154,0,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.34615384615384615,1,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.34615384615384615,2,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.6153846153846154,3,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.4230769230769231,4,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.2692307692307692,5,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.48,6,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.48,7,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.24,8,1.0709571838378906,10,1.0.2
10,rf,0.0,128,0.4,9,1.0709571838378906,10,1.0.2
10,rf,0.0,256,0.5961538461538461,0,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.4423076923076923,1,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.43137254901960786,2,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.35294117647058826,3,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.5294117647058824,4,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.39215686274509803,5,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.6078431372549019,6,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.49019607843137253,7,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.45098039215686275,8,1.415243148803711,10,1.0.2
10,rf,0.0,256,0.49019607843137253,9,1.415243148803711,10,1.0.2
10,rf,0.0,512,0.5728155339805825,0,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.46601941747572817,1,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.5339805825242718,2,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.4854368932038835,3,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.5490196078431373,4,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.5098039215686274,5,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.4117647058823529,6,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.4803921568627451,7,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.5490196078431373,8,2.2146804332733154,10,1.0.2
10,rf,0.0,512,0.45098039215686275,9,2.2146804332733154,10,1.0.2
10,rf,0.0,1024,0.5121951219512195,0,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.4926829268292683,1,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.4878048780487805,2,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.4682926829268293,3,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.5024390243902439,4,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.48292682926829267,5,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.48292682926829267,6,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.4926829268292683,7,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.5245098039215687,8,4.505118370056152,10,1.0.2
10,rf,0.0,1024,0.45098039215686275,9,4.505118370056152,10,1.0.2
10,rf,0.0,2048,0.5219512195121951,0,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.5121951219512195,1,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.5292682926829269,2,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.5,3,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.48048780487804876,4,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.4853658536585366,5,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.49144254278728605,6,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.5012224938875306,7,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.5036674816625917,8,9.713266134262085,10,1.0.2
10,rf,0.0,2048,0.48166259168704156,9,9.713266134262085,10,1.0.2
10,rf,0.0,8096,0.4919753086419753,0,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.49691358024691357,1,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.4947498455836936,2,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.5145151327980235,3,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.5132798023471279,4,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.49660284126003706,5,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.49104385423100677,6,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.4990735021618283,7,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.5052501544163064,8,51.849912881851196,10,1.0.2
10,rf,0.0,8096,0.4996911673872761,9,51.849912881851196,10,1.0.2
10,rf,0.25,128,0.6923076923076923,0,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.7307692307692307,1,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.6153846153846154,2,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.6153846153846154,3,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.6153846153846154,4,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.6923076923076923,5,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.68,6,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.64,7,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.52,8,1.0183866024017334,10,1.0.2
10,rf,0.25,128,0.4,9,1.0183866024017334,10,1.0.2
10,rf,0.25,256,0.5384615384615384,0,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.5961538461538461,1,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.6470588235294118,2,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.5686274509803921,3,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.6666666666666666,4,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.6078431372549019,5,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.49019607843137253,6,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.5098039215686274,7,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.5882352941176471,8,1.343022346496582,10,1.0.2
10,rf,0.25,256,0.6078431372549019,9,1.343022346496582,10,1.0.2
10,rf,0.25,512,0.6407766990291263,0,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.5533980582524272,1,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.6116504854368932,2,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.5436893203883495,3,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.6078431372549019,4,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.6078431372549019,5,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.5588235294117647,6,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.5196078431372549,7,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.6666666666666666,8,2.0739011764526367,10,1.0.2
10,rf,0.25,512,0.5686274509803921,9,2.0739011764526367,10,1.0.2
10,rf,0.25,1024,0.5951219512195122,0,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.6195121951219512,1,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.6,2,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.5951219512195122,3,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.6439024390243903,4,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.624390243902439,5,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.6536585365853659,6,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.6146341463414634,7,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.5490196078431373,8,3.8184967041015625,10,1.0.2
10,rf,0.25,1024,0.6519607843137255,9,3.8184967041015625,10,1.0.2
10,rf,0.25,2048,0.6195121951219512,0,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.6048780487804878,1,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.6121951219512195,2,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.6390243902439025,3,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.7024390243902439,4,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.624390243902439,5,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.6112469437652812,6,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.6112469437652812,7,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.6430317848410758,8,7.2080979347229,10,1.0.2
10,rf,0.25,2048,0.6430317848410758,9,7.2080979347229,10,1.0.2
10,rf,0.25,8096,0.6419753086419753,0,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6382716049382716,1,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6479308214947499,2,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6423718344657195,3,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6578134651019147,4,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6361951822112415,5,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6460778258184064,6,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6232242124768376,7,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6312538604076591,8,33.08326601982117,10,1.0.2
10,rf,0.25,8096,0.6553428042001236,9,33.08326601982117,10,1.0.2
10,rf,0.5,128,0.6923076923076923,0,1.048398494720459,10,1.0.2
10,rf,0.5,128,0.7692307692307693,1,1.048398494720459,10,1.0.2
10,rf,0.5,128,0.7692307692307693,2,1.048398494720459,10,1.0.2
