ndims,mode,dist_sigma,nsamples,c2st_score,crossvalid,total_cvtime_sec,nfolds,sklearn_version
10,early,0.0,128,0.4230769230769231,0,2.912928819656372,10,1.0.2
10,early,0.0,128,0.5384615384615384,1,2.912928819656372,10,1.0.2
10,early,0.0,128,0.46153846153846156,2,2.912928819656372,10,1.0.2
10,early,0.0,128,0.2692307692307692,3,2.912928819656372,10,1.0.2
10,early,0.0,128,0.5384615384615384,4,2.912928819656372,10,1.0.2
10,early,0.0,128,0.3076923076923077,5,2.912928819656372,10,1.0.2
10,early,0.0,128,0.48,6,2.912928819656372,10,1.0.2
10,early,0.0,128,0.56,7,2.912928819656372,10,1.0.2
10,early,0.0,128,0.4,8,2.912928819656372,10,1.0.2
10,early,0.0,128,0.52,9,2.912928819656372,10,1.0.2
10,early,0.0,256,0.4423076923076923,0,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.46153846153846156,1,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.45098039215686275,2,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.45098039215686275,3,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.47058823529411764,4,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.4117647058823529,5,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.37254901960784315,6,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.37254901960784315,7,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.5098039215686274,8,3.3204894065856934,10,1.0.2
10,early,0.0,256,0.5098039215686274,9,3.3204894065856934,10,1.0.2
10,early,0.0,512,0.39805825242718446,0,6.249772787094116,10,1.0.2
10,early,0.0,512,0.46601941747572817,1,6.249772787094116,10,1.0.2
10,early,0.0,512,0.47572815533980584,2,6.249772787094116,10,1.0.2
10,early,0.0,512,0.5631067961165048,3,6.249772787094116,10,1.0.2
10,early,0.0,512,0.5,4,6.249772787094116,10,1.0.2
10,early,0.0,512,0.4411764705882353,5,6.249772787094116,10,1.0.2
10,early,0.0,512,0.47058823529411764,6,6.249772787094116,10,1.0.2
10,early,0.0,512,0.4019607843137255,7,6.249772787094116,10,1.0.2
10,early,0.0,512,0.47058823529411764,8,6.249772787094116,10,1.0.2
10,early,0.0,512,0.49019607843137253,9,6.249772787094116,10,1.0.2
10,early,0.0,1024,0.4585365853658537,0,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.4878048780487805,1,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.4975609756097561,2,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.5121951219512195,3,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.5073170731707317,4,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.43902439024390244,5,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.48292682926829267,6,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.4585365853658537,7,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.46078431372549017,8,16.076107501983643,10,1.0.2
10,early,0.0,1024,0.5490196078431373,9,16.076107501983643,10,1.0.2
10,early,0.0,2048,0.5219512195121951,0,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.47073170731707314,1,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.5097560975609756,2,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.5365853658536586,3,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.4951219512195122,4,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.5219512195121951,5,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.48166259168704156,6,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.4889975550122249,7,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.4718826405867971,8,24.020041942596436,10,1.0.2
10,early,0.0,2048,0.5256723716381418,9,24.020041942596436,10,1.0.2
10,early,0.0,8096,0.5407407407407407,0,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.5117283950617284,1,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.4947498455836936,2,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.509573810994441,3,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.5040148239654108,4,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.5126621371216801,5,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.4996911673872761,6,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.5071031500926498,7,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.47251389746757255,8,127.88017725944519,10,1.0.2
10,early,0.0,8096,0.5169857936998147,9,127.88017725944519,10,1.0.2
10,early,0.25,128,0.5,0,4.231306314468384,10,1.0.2
10,early,0.25,128,0.6538461538461539,1,4.231306314468384,10,1.0.2
10,early,0.25,128,0.5384615384615384,2,4.231306314468384,10,1.0.2
10,early,0.25,128,0.5769230769230769,3,4.231306314468384,10,1.0.2
10,early,0.25,128,0.5769230769230769,4,4.231306314468384,10,1.0.2
10,early,0.25,128,0.7692307692307693,5,4.231306314468384,10,1.0.2
10,early,0.25,128,0.6,6,4.231306314468384,10,1.0.2
10,early,0.25,128,0.56,7,4.231306314468384,10,1.0.2
10,early,0.25,128,0.64,8,4.231306314468384,10,1.0.2
10,early,0.25,128,0.68,9,4.231306314468384,10,1.0.2
10,early,0.25,256,0.6923076923076923,0,4.737743854522705,10,1.0.2
10,early,0.25,256,0.5384615384615384,1,4.737743854522705,10,1.0.2
10,early,0.25,256,0.5882352941176471,2,4.737743854522705,10,1.0.2
10,early,0.25,256,0.5098039215686274,3,4.737743854522705,10,1.0.2
10,early,0.25,256,0.5882352941176471,4,4.737743854522705,10,1.0.2
10,early,0.25,256,0.6862745098039216,5,4.737743854522705,10,1.0.2
10,early,0.25,256,0.49019607843137253,6,4.737743854522705,10,1.0.2
10,early,0.25,256,0.5490196078431373,7,4.737743854522705,10,1.0.2
10,early,0.25,256,0.7254901960784313,8,4.737743854522705,10,1.0.2
10,early,0.25,256,0.6078431372549019,9,4.737743854522705,10,1.0.2
10,early,0.25,512,0.5436893203883495,0,10.663694620132446,10,1.0.2
10,early,0.25,512,0.6601941747572816,1,10.663694620132446,10,1.0.2
10,early,0.25,512,0.6310679611650486,2,10.663694620132446,10,1.0.2
10,early,0.25,512,0.6796116504854369,3,10.663694620132446,10,1.0.2
10,early,0.25,512,0.6176470588235294,4,10.663694620132446,10,1.0.2
10,early,0.25,512,0.5882352941176471,5,10.663694620132446,10,1.0.2
10,early,0.25,512,0.5196078431372549,6,10.663694620132446,10,1.0.2
10,early,0.25,512,0.6470588235294118,7,10.663694620132446,10,1.0.2
10,early,0.25,512,0.6862745098039216,8,10.663694620132446,10,1.0.2
10,early,0.25,512,0.5294117647058824,9,10.663694620132446,10,1.0.2
10,early,0.25,1024,0.6195121951219512,0,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.6634146341463415,1,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.6487804878048781,2,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.6195121951219512,3,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.6048780487804878,4,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.697560975609756,5,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.6,6,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.6780487804878049,7,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.5833333333333334,8,15.909212350845337,10,1.0.2
10,early,0.25,1024,0.6372549019607843,9,15.909212350845337,10,1.0.2
10,early,0.25,2048,0.6365853658536585,0,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.6219512195121951,1,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.6341463414634146,2,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.7,3,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.6365853658536585,4,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.6463414634146342,5,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.6381418092909535,6,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.6161369193154034,7,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.6332518337408313,8,33.589600801467896,10,1.0.2
10,early,0.25,2048,0.6039119804400978,9,33.589600801467896,10,1.0.2
10,early,0.25,8096,0.6537037037037037,0,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.641358024691358,1,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.654107473749228,2,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.6664607782581841,3,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.6516368128474367,4,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.6479308214947499,5,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.6466954910438543,6,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.6436071649166152,7,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.6454601605929586,8,116.77839612960815,10,1.0.2
10,early,0.25,8096,0.6652254478072884,9,116.77839612960815,10,1.0.2
10,early,0.5,128,0.6153846153846154,0,5.854063272476196,10,1.0.2
10,early,0.5,128,0.6923076923076923,1,5.854063272476196,10,1.0.2
10,early,0.5,128,0.7692307692307693,2,5.854063272476196,10,1.0.2
10,early,0.5,128,0.7692307692307693,3,5.854063272476196,10,1.0.2
10,early,0.5,128,0.7307692307692307,4,5.854063272476196,10,1.0.2
10,early,0.5,128,0.8076923076923077,5,5.854063272476196,10,1.0.2
10,early,0.5,128,0.8,6,5.854063272476196,10,1.0.2
10,early,0.5,128,0.72,7,5.854063272476196,10,1.0.2
10,early,0.5,128,0.88,8,5.854063272476196,10,1.0.2
10,early,0.5,128,0.8,9,5.854063272476196,10,1.0.2
10,early,0.5,256,0.8269230769230769,0,10.744370222091675,10,1.0.2
10,early,0.5,256,0.8076923076923077,1,10.744370222091675,10,1.0.2
10,early,0.5,256,0.7058823529411765,2,10.744370222091675,10,1.0.2
10,early,0.5,256,0.7843137254901961,3,10.744370222091675,10,1.0.2
10,early,0.5,256,0.6862745098039216,4,10.744370222091675,10,1.0.2
10,early,0.5,256,0.7450980392156863,5,10.744370222091675,10,1.0.2
10,early,0.5,256,0.7647058823529411,6,10.744370222091675,10,1.0.2
10,early,0.5,256,0.6862745098039216,7,10.744370222091675,10,1.0.2
10,early,0.5,256,0.7254901960784313,8,10.744370222091675,10,1.0.2
10,early,0.5,256,0.8235294117647058,9,10.744370222091675,10,1.0.2
10,early,0.5,512,0.7669902912621359,0,8.065553665161133,10,1.0.2
10,early,0.5,512,0.7864077669902912,1,8.065553665161133,10,1.0.2
10,early,0.5,512,0.7184466019417476,2,8.065553665161133,10,1.0.2
10,early,0.5,512,0.7864077669902912,3,8.065553665161133,10,1.0.2
10,early,0.5,512,0.6862745098039216,4,8.065553665161133,10,1.0.2
10,early,0.5,512,0.8235294117647058,5,8.065553665161133,10,1.0.2
10,early,0.5,512,0.7254901960784313,6,8.065553665161133,10,1.0.2
10,early,0.5,512,0.7647058823529411,7,8.065553665161133,10,1.0.2
10,early,0.5,512,0.7647058823529411,8,8.065553665161133,10,1.0.2
10,early,0.5,512,0.7843137254901961,9,8.065553665161133,10,1.0.2
10,early,0.5,1024,0.7658536585365854,0,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.7658536585365854,1,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.8048780487804879,2,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.7365853658536585,3,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.7560975609756098,4,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.824390243902439,5,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.7804878048780488,6,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.8048780487804879,7,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.7352941176470589,8,24.016499042510986,10,1.0.2
10,early,0.5,1024,0.803921568627451,9,24.016499042510986,10,1.0.2
10,early,0.5,2048,0.7829268292682927,0,35.47059869766235,10,1.0.2
10,early,0.5,2048,0.7829268292682927,1,35.47059869766235,10,1.0.2
10,early,0.5,2048,0.7878048780487805,2,35.47059869766235,10,1.0.2
10,early,0.5,2048,0.8048780487804879,3,35.47059869766235,10,1.0.2
10,early,0.5,2048,0.8048780487804879,4,35.47059869766235,10,1.0.2
10,early,0.5,2048,0.7707317073170732,5,35.47059869766235,10,1.0.2
10,early,0.5,2048,0.7652811735941321,6,35.47059869766235,10,1.0.2
10,early,0.5,2048,0.7677261613691931,7,35.47059869766235,10,1.0.2
10,early,0.5,2048,0.7457212713936431,8,35.47059869766235,10,1.0.2
