ndims,mode,dist_sigma,nsamples,c2st_score,crossvalid,total_cvtime_sec,nfolds,sklearn_version
10,nn,0.0,128,0.34615384615384615,0,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.6538461538461539,1,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.5384615384615384,2,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.23076923076923078,3,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.38461538461538464,4,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.38461538461538464,5,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.56,6,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.48,7,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.4,8,11.881926774978638,10,1.0.2
10,nn,0.0,128,0.4,9,11.881926774978638,10,1.0.2
10,nn,0.0,256,0.40384615384615385,0,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.5384615384615384,1,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.5490196078431373,2,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.43137254901960786,3,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.37254901960784315,4,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.47058823529411764,5,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.49019607843137253,6,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.5686274509803921,7,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.47058823529411764,8,23.398439407348633,10,1.0.2
10,nn,0.0,256,0.47058823529411764,9,23.398439407348633,10,1.0.2
10,nn,0.0,512,0.4854368932038835,0,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.4368932038834951,1,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.49514563106796117,2,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.5048543689320388,3,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.5098039215686274,4,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.4117647058823529,5,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.43137254901960786,6,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.43137254901960786,7,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.43137254901960786,8,46.214720726013184,10,1.0.2
10,nn,0.0,512,0.5196078431372549,9,46.214720726013184,10,1.0.2
10,nn,0.0,1024,0.4634146341463415,0,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.5414634146341464,1,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.47317073170731705,2,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.47317073170731705,3,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.5073170731707317,4,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.4195121951219512,5,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.43902439024390244,6,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.45365853658536587,7,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.4803921568627451,8,124.35642886161804,10,1.0.2
10,nn,0.0,1024,0.5,9,124.35642886161804,10,1.0.2
10,nn,0.0,2048,0.47560975609756095,0,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.4926829268292683,1,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.45121951219512196,2,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.5097560975609756,3,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.4902439024390244,4,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.5146341463414634,5,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.4792176039119804,6,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.4963325183374083,7,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.48166259168704156,8,285.923570394516,10,1.0.2
10,nn,0.0,2048,0.4792176039119804,9,285.923570394516,10,1.0.2
10,nn,0.0,8096,0.5067901234567901,0,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.4808641975308642,1,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.4842495367510809,2,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.4990735021618283,3,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.49660284126003706,4,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.48795552810376774,5,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.5077208153180975,6,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.5009264978381717,7,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.4848672019765287,8,880.7563226222992,10,1.0.2
10,nn,0.0,8096,0.4996911673872761,9,880.7563226222992,10,1.0.2
10,nn,0.25,128,0.46153846153846156,0,15.179469347000122,10,1.0.2
